Timestamp,Solar Irradiance (W/m²),Temperature (°C),PV Output (kW),Grid Voltage (V),Grid Frequency (Hz),Industrial Load Demand (kW),SOC (%),Battery Charge/Discharge (kW),Fault Indicator (1/0),Stability Index
2025-05-13 00:00:00,24.835707650561634,21.325762537334825,0.2451849659694439,229.0234523150969,50.063993038229036,60.22905846184208,49.88789852895173,-8.69614395630618,0.0,0.8199610232745518
2025-05-13 00:00:05,22.766065346348164,21.412680611074084,0.22475288547199024,229.2103857598507,50.03521122836806,58.024576989926985,49.87756185475512,-8.7215944838417,0.08333333333333334,0.7938094379121086
2025-05-13 00:00:10,20.696423042134697,21.499598684813343,0.20432080497453659,229.3973192046045,50.00642941850709,55.8200955180119,49.867225180558506,-8.74704501137722,0.16666666666666669,0.7676578525496653
2025-05-13 00:00:15,18.626780737921226,21.5865167585526,0.1838887244770829,229.5842526493583,49.977647608646116,53.61561404609681,49.8568885063619,-8.77249553891274,0.25,0.741506267187222
2025-05-13 00:00:20,16.557138433707756,21.67343483229186,0.16345664397962925,229.7711860941121,49.94886579878514,51.411132574181714,49.84655183216528,-8.79794606644826,0.33333333333333337,0.7153546818247788
2025-05-13 00:00:25,14.487496129494286,21.76035290603112,0.1430245634821756,229.9581195388659,49.92008398892417,49.20665110226662,49.836215157968674,-8.823396593983778,0.4166666666666667,0.6892030964623356
2025-05-13 00:00:30,12.417853825280817,21.84727097977038,0.12259248298472193,230.14505298361968,49.8913021790632,47.00216963035153,49.825878483772065,-8.848847121519299,0.5,0.6630515110998922
2025-05-13 00:00:35,10.348211521067347,21.93418905350964,0.10216040248726826,230.33198642837348,49.86252036920223,44.79768815843644,49.81554180957545,-8.874297649054819,0.5833333333333334,0.636899925737449
2025-05-13 00:00:40,8.278569216853878,22.0211071272489,0.08172832198981461,230.5189198731273,49.833738559341256,42.59320668652135,49.80520513537884,-8.899748176590338,0.6666666666666667,0.6107483403750058
2025-05-13 00:00:45,6.208926912640408,22.10802520098816,0.06129624149236096,230.7058533178811,49.80495674948028,40.388725214606254,49.794868461182226,-8.925198704125858,0.75,0.5845967550125626
2025-05-13 00:00:50,4.139284608426937,22.194943274727418,0.040864160994907306,230.8927867626349,49.77617493961931,38.184243742691166,49.78453178698562,-8.950649231661378,0.8333333333333334,0.5584451696501194
2025-05-13 00:00:55,2.069642304213467,22.281861348466677,0.020432080497453653,231.07972020738868,49.747393129758336,35.97976227077608,49.774195112789,-8.976099759196897,0.9166666666666667,0.532293584287676
2025-05-13 00:01:00,0.0,22.368779422205936,0.0,231.26665365214248,49.71861131989736,33.77528079886098,49.76385843859239,-9.001550286732417,1.0,0.5061419989252328
2025-05-13 00:01:05,3.4264188795604573,22.20518997999343,0.03783555399905407,231.16487098991007,49.734696227785236,36.473862042893266,49.7755291716699,-8.892159931444152,0.9166666666666666,0.5364500199756974
2025-05-13 00:01:10,6.852837759120915,22.041600537780923,0.07567110799810814,231.0630883276777,49.75078113567311,39.17244328692554,49.7871999047474,-8.782769576155886,0.8333333333333333,0.5667580410261621
2025-05-13 00:01:15,10.279256638681371,21.878011095568418,0.11350666199716221,230.9613056654453,49.76686604356098,41.871024530957826,49.798870637824905,-8.67337922086762,0.75,0.5970660620766268
2025-05-13 00:01:20,13.70567551824183,21.714421653355913,0.15134221599621628,230.8595230032129,49.78295095144885,44.56960577499011,49.81054137090241,-8.563988865579352,0.6666666666666666,0.6273740831270914
2025-05-13 00:01:25,17.132094397802284,21.55083221114341,0.18917776999527033,230.7577403409805,49.799035859336726,47.26818701902239,49.82221210397992,-8.454598510291087,0.5833333333333333,0.657682104177556
